Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)"
2000_Albania,100.1273,104.71661,66.27698000000001,82.93825,43.68363,95.96758,15.598939999999999,95.85975,67.02141,,84.58740999999999,84.53214,95.85975,95.85975,93.35046,,,,47.21967,7.86035,,77.11345,3.93223,6.649539999999999,6.306430000000001,4.14025,4.17615,5.68509,9.861239999999999,92.13965,97.24540999999999,,3.9234,6.4652199999999995,52.780330000000006,,19.9467,28.2987,7.03273,92.96727
2000_Algeria,96.76294,104.90816000000001,,84.79719,41.02775,87.69541,,89.17990999999999,,,93.68215,,90.52619,90.52619,,,,,,20.30666,,,14.2123,,23.32595,9.47381,6.29438,3.8836,10.17798,79.69334,93.25744,,12.212489999999999,23.88346,,,,,,
2000_Argentina,108.28743,117.36348999999998,91.55129000000001,107.21031,72.79456,119.44448999999999,53.175740000000005,99.11938,78.96793000000001,81.14052,99.0625,82.50975,99.54847,99.76035,98.71234,55.57974,96.15865,99.69811999999999,77.62651,11.99657,94.66938,78.96939,6.14958,1.28766,8.40546,0.45153000000000004,7.09928,5.850140000000001,12.94942,88.00343000000001,97.69371,,6.40005,8.0665,22.37349,48.39403,5.90641,11.648,,
2000_Australia,,100.41251,,,,,,94.10802,,,67.21324,,94.19505,94.19505,,,,,,,,,,,,5.80495,7.03532,,,,,,,,,,,,20.30217,79.69783000000001
2000_Austria,,103.67232,,100.35258,95.28753,102.23275,,,88.42819,,,87.14291,,,99.72816,,,,92.66917,,,,,0.27184,,,4.158980000000001,7.88318,12.04215,,,,,,7.330830000000001,,,3.86646,,
2000_Belgium,,104.83442,107.46516000000001,124.74484,140.79426,153.03667,58.169059999999995,98.89887,93.23441,85.46296,93.44404,86.20661,99.19199,100.0,98.5587,85.69197,,,96.84688,,,,,1.4413,,0.80801,6.29269,8.332089999999999,14.62478,,,,,,3.15312,,1.69028,2.5823400000000003,19.37999,80.60975
2000_Brazil,,,,,,,,,,,,,,,,,,,,,,,25.01127,,,,,,,,97.87674,,20.95415,,,,,,,
2000_Bulgaria,101.46197,103.45539000000001,78.80469000000001,96.37996,101.6118,86.10311999999999,44.12604,95.27589,86.45747,,93.05649,90.84980999999999,97.09154000000001,97.63294,95.57515,,,95.8734,81.87888000000001,,,,3.1259200000000003,4.42485,,2.90846,4.12838,6.48177,10.61015,,99.33849000000001,,2.25847,,18.12112,,7.840330000000001,10.33721,18.290589999999998,81.69442
2000_Canada,100.54231,100.25361,92.95634,100.84796999999999,104.85779,97.97025,58.830090000000006,99.91953000000001,,,98.57138,,99.91953000000001,99.91953000000001,,,,,,,,,,,,0.08047,6.01509,6.08606,12.10115,,,,,,,,,,,
2000_Chile,102.02195999999999,105.9884,79.28891999999999,95.35972,77.4672,97.51589,36.224000000000004,,,,,,,,,,,,,,,,,,,,6.35196,5.13724,11.4892,,,,,,,,,,,
