Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",pisa_math,pisa_reading,pisa_science,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2000_Albania,100.1273,104.71661,66.27698000000001,82.93825,43.68363,95.96758,15.59894,95.85975,67.02141,,84.58740999999998,84.53214,95.85975,95.85975,93.35046,,,,47.21967,7.86035,,77.11345,3.93223,6.649539999999999,6.3064300000000015,4.14025,4.17615,5.68509,9.86124,92.13965,97.24541,,3.9234,6.46522,52.780330000000006,,19.9467,28.2987,7.03273,92.96727,,349.0,,3.28692007064819,10.137029647827099,,,,,,,,,,,,
2000_Algeria,96.76294,104.90816,,84.79719,41.02775,87.69541,,89.17990999999998,,,93.68215,,90.52619,90.52619,,,,,,20.30666,,,14.2123,,23.32595,9.47381,6.29438,3.8836,10.17798,79.69334,93.25744,,12.21249,23.88346,,,,,,,,,,,,,,,17.4437599182129,,9.94404983520508,,,,,,
2000_Argentina,108.28743,117.36348999999998,91.55129,107.21031,72.79456,119.44449,53.17574000000001,99.11938,78.96793000000002,81.14052,99.0625,82.50975,99.54847,99.76035,98.71234,55.57974,96.15865,99.69812,77.62651,11.99657,94.66938,78.96939,6.14958,1.28766,8.40546,0.45153,7.09928,5.8501400000000015,12.94942,88.00343000000002,97.69371,,6.40005,8.0665,22.37349,48.39403,5.90641,11.648,,,,,,4.5803098678588885,16.2263507843018,18.135009765625,17.4208202362061,35.7032508850098,15.825059890747099,35.691291809081996,12.360960006713901,,,,,,
2000_Australia,,100.41251,,,,,,94.10802,,,67.21324,,94.19505,94.19505,,,,,,,,,,,,5.80495,7.03532,,,,,,,,,,,,20.30217,79.69783000000002,,528.0,,4.89369010925293,13.3601598739624,23.4199295043945,,38.5898094177246,,34.0679206848145,16.753559112548803,92.9892425537109,90.3780364990234,94.2830581665039,94.5791168212891,,
2000_Austria,,103.67232,,100.35258,95.28753,102.23275,,,88.42819,,,87.14291,,,99.72816,,,,92.66917,,,,,0.27184,,,4.1589800000000015,7.88318,12.04215,,,,,,7.3308300000000015,,,3.86646,,,,492.0,,5.588809967041018,11.0332202911377,25.009689331054698,,45.413459777832,27.160459518432607,19.697799682617198,22.475929260253896,95.10350799560551,96.7540130615234,94.9424667358398,94.63717651367192,,
2000_Belgium,,104.83442,107.46516,124.74484,140.79426,153.03667,58.16906,98.89887,93.23441,85.46296,93.44404,86.20661,99.19199,100.0,98.5587,85.69197,,,96.84688,,,,,1.4413,,0.80801,6.29269,8.332089999999999,14.62478,,,,,,3.15312,,1.69028,2.5823400000000003,19.37999,80.60975,,507.0,,,,,,,,,,,,,,,
2000_Brazil,,,,,,,,,,,,,,,,,,,,,,,25.01127,,,,,,,,97.87674,,20.95415,,,,,,,,,396.0,,3.94893002510071,11.452159881591802,22.0737800598145,54.9357109069824,38.4423217773438,,30.881780624389602,10.5762996673584,93.8585891723633,96.9163665771484,94.4475784301758,91.9165802001953,86.3678817749023,94.18411254882808
2000_Bulgaria,101.46197,103.45539,78.80469000000002,96.37996,101.6118,86.10311999999998,44.12604,95.27589,86.45747,,93.05649,90.84981,97.09154,97.63294,95.57515,,,95.8734,81.87888000000002,,,,3.1259200000000003,4.42485,,2.90846,4.12838,6.48177,10.61015,,99.33849,,2.25847,,18.12112,,7.840330000000002,10.33721,18.29059,81.69442,,430.0,,,,,,,,,,,,,,,
2000_Canada,100.54231,100.25361,92.95634,100.84797,104.85779,97.97025,58.83009000000001,99.91953,,,98.57138,,99.91953,99.91953,,,,,,,,,,,,0.08047,6.01509,6.08606,12.10115,,,,,,,,,,,,,534.0,,5.44200992584229,12.982600212097196,,,,,,,96.3984527587891,,,,,
2000_Chile,102.02196,105.9884,79.28891999999998,95.35972,77.4672,97.51589,36.224,,,,,,,,,,,,,,,,,,,,6.35196,5.13724,11.4892,,,,,,,,,,,,,410.0,,3.77583003044128,16.4279098510742,14.534640312194801,18.5242900848389,34.2698593139648,14.195240020752001,43.0182113647461,13.7842798233032,87.18878173828129,91.9614791870117,84.673957824707,84.7432479858398,,
