,2000_ed_qual_index,2003_ed_qual_index,2006_ed_qual_index,2009_ed_qual_index,2012_ed_qual_index,2015_ed_qual_index
Albania,0.8147720356311767,0.8316997498020424,0.8352000253483998,0.8295566521428575,0.8938316623182564,0.8948214247436457
Algeria,0.8292557268158212,0.8323894945132301,0.8022283080996454,0.8643935055898223,0.8690006987977981,0.836084312590957
Argentina,0.8496008501479264,0.9075697482178942,0.9615762448348522,0.9958619243400179,0.9984531392547126,0.9784611856840284
Australia,0.9216880097107144,0.9054677650071988,0.9379087594460088,0.9257144037873256,0.8979892152181679,1.0178217629986759
Austria,0.9274942379757642,0.9541816206126792,0.9589690886968492,0.948515800164645,0.9679296498652824,0.9580867394197901
Belgium,0.9391526788169999,0.9867275374359428,1.0197694378311712,1.0384733304840938,1.0145057739372072,1.0490861071896629
Brazil,0.8577321330285695,0.8358891775256542,0.8922558638756276,0.8956872376682584,0.9003183954475085,0.9301818475280612
Bulgaria,0.8751680171321792,0.8829943835308307,0.8484082074213518,0.8626001488588969,0.8616244013497081,0.8828326233902997
Canada,0.8988819640266541,0.9060404134660012,0.9535117681701256,0.9432691994193042,0.9620702082401974,0.9834446108340968
Chile,0.8220070442035904,0.8369239371839287,0.8208969574938986,0.9134765127451536,0.8248339427045818,0.8786970687331281
China,0.8876624104448733,0.8545735562983031,0.8561547805840333,0.8671823743253549,0.8667050689966778,0.8633790319536275
Colombia,0.8163598513856883,0.8523624978064449,0.8663930417433227,0.9090296961099912,0.8219339453790623,0.8501929135453814
Costa Rica,0.8659208489060786,0.8575771043452893,0.8634144262112206,0.8782467378087215,0.8790239260874763,0.8925529078540617
Croatia,0.8893425506167292,0.8673008622508103,0.9079092803841856,0.8890125852733293,0.9123483213258096,0.9159433730259676
Cyprus,0.9064311631597264,0.9353388803008252,0.9563138594925332,0.9971424817772094,0.9157996306639112,0.9871479861115584
Czechia,0.8482264440783325,0.8715488877661748,0.8883554579246995,0.8729711396431739,0.8902183810664597,0.8993939743825878
Denmark,0.9854370193858566,0.9791952167380094,1.0032480043073504,1.02866256456715,1.0447200869931437,1.0302264236148182
Dominican Republic,0.8231600575795157,0.8290647059233897,0.8557344464749379,0.8407849691026116,0.8433619660452821,0.8077441313240633
Estonia,0.9673869836424244,0.9022841091390822,0.9397873980742996,0.9421828914577948,0.9593751304103167,0.9695497551892038
Finland,0.9803090775576292,1.004943305746782,1.0305112410964985,1.076250938749406,1.0657083218977488,1.1311333901581506
France,0.9256987386439388,0.9164850231347792,0.9453085497757384,0.9521901966570172,0.9565984811263462,0.9681316040020896
Georgia,0.8341608676743381,0.8306788061608252,0.8406206867535895,0.8526913913528148,0.8256694593197671,0.9377376196226004
Germany,0.8846343961509199,0.9029639644405724,0.9218720694335812,0.928450978434774,0.9422070766291334,0.9260923061185142
Greece,0.8251135757030107,0.8242290558073745,0.8880734257341607,0.9181782101272036,0.8800503975301152,0.8777555534565167
Hungary,0.8751099921905898,0.9199225970223808,0.91949547021221,0.9144808414431239,0.8983725685779529,0.90649837205117
