Year,Jurisdiction,Average,Standard Error
2015,Selected countries and jurisdictions,468,(0.4)
2015,International Average (OECD),493,(0.5)
2015,Australia,503,(1.7)
2015,Austria,485,(2.8)
2015,Belgium,499,(2.4)
2015,Canada,527,(2.3)
2015,Chile,459,(2.6)
2015,Czech Republic,487,(2.6)
2015,Denmark,500,(2.5)
2015,Estonia,519,(2.2)
2015,Finland,526,(2.5)
2015,France,499,(2.5)
2015,Germany,509,(3.0)
2015,Greece,467,(4.3)
2015,Hungary,470,(2.7)
2015,Iceland,482,(2.0)
2015,Ireland,521,(2.5)
2015,Israel,479,(3.8)
2015,Italy,485,(2.7)
2015,Japan,516,(3.2)
2015,Korea,517,(3.5)
2015,Latvia,488,(1.8)
2015,Luxembourg,481,(1.4)
2015,Mexico,423,(2.6)
2015,Netherlands,503,(2.4)
2015,New Zealand,509,(2.4)
2015,Norway,513,(2.5)
2015,Poland,506,(2.5)
2015,Portugal,498,(2.7)
2015,Slovak Republic,453,(2.8)
2015,Slovenia,505,(1.5)
2015,Spain,496,(2.4)
2015,Sweden,500,(3.5)
2015,Switzerland,492,(3.0)
2015,Turkey,428,(4.0)
2015,United Kingdom,498,(2.8)
2015,United States,497,(3.4)
2015,Albania,—,†
2015,Albania (2015),405,(4.1)
2015,Algeria,350,(3.0)
2015,Argentina (2015),425,(3.2)
2015,Brazil,407,(2.8)
2015,B-S-J-G (China),494,(5.1)
2015,Bulgaria,432,(5.0)
2015,CABA (Argentina),475,(7.2)
2015,Colombia,425,(2.9)
2015,Costa Rica,427,(2.6)
2015,Croatia,487,(2.7)
2015,Cyprus,443,(1.7)
2015,Dominican Republic,358,(3.1)
2015,FYROM,352,(1.4)
2015,Georgia,401,(3.0)
2015,Hong Kong (China),527,(2.7)
2015,Indonesia,397,(2.9)
2015,Jordan,408,(2.9)
2015,Kazakhstan,—,†
2015,Kazakhstan (2015),427,(3.4)
2015,Kosovo,347,(1.6)
2015,Lebanon,347,(4.4)
2015,Lithuania,472,(2.7)
2015,Macao (China),509,(1.3)
2015,Malaysia,—,†
2015,Malaysia (2015),431,(3.5)
2015,Malta,447,(1.8)
2015,Moldova,416,(2.5)
2015,Montenegro,427,(1.6)
2015,Peru,398,(2.9)
2015,Qatar,402,(1.0)
2015,Romania,434,(4.1)
2015,Russia,495,(3.1)
2015,Singapore,535,(1.6)
2015,Chinese Taipei,497,(2.5)
2015,Thailand,409,(3.3)
2015,Trinidad and Tobago,427,(1.5)
2015,Tunisia,361,(3.1)
2015,United Arab Emirates,434,(2.9)
2015,Uruguay,437,(2.5)
2015,Viet Nam,487,(3.7)
2015,Belgium: Flemish Community,511,(2.8)
2015,Spain: Andalusia,479,(4.3)
2015,Spain: Aragon,506,(6.3)
2015,Spain: Asturias,498,(6.4)
2015,Spain: Balearic Islands,485,(8.1)
2015,Spain: Basque Country,491,(4.7)
2015,Spain: Canary Islands,483,(4.1)
2015,Spain: Cantabria,501,(5.6)
2015,Spain: Castile and Leon,522,(4.2)
2015,Spain: Castile-La Mancha,499,(4.0)
2015,Spain: Catalonia,500,(4.5)
2015,Spain: Comunidad Valenciana,499,(3.7)
2015,Spain: Extremadura,475,(4.3)
2015,Spain: Galicia,509,(4.6)
2015,Spain: La Rioja,491,(9.5)
2015,Spain: Madrid,520,(4.2)
2015,Spain: Murcia,486,(4.9)
2015,Spain: Navarre,514,(5.2)
2015,United Arab Emirates: Abu Dhabi,419,(5.0)
2015,United Arab Emirates: Dubai,475,(1.7)
2015,United Kingdom: Scotland,493,(2.3)
2015,United States: Massachusetts,527,(6.0)
2015,United States: North Carolina,500,(5.4)
2015,United States: Puerto Rico,410,(7.1)
2012,Selected countries and jurisdictions,477,(0.4)
2012,International Average (OECD),496,(0.5)
2012,Australia,512,(1.6)
2012,Austria,490,(2.8)
2012,Belgium,509,(2.3)
2012,Canada,523,(1.9)
2012,Chile,441,(2.9)
2012,Czech Republic,493,(2.9)
2012,Denmark,496,(2.6)
2012,Estonia,516,(2.0)
2012,Finland,524,(2.4)
2012,France,505,(2.8)
2012,Germany,508,(2.8)
2012,Greece,477,(3.3)
2012,Hungary,488,(3.2)
2012,Iceland,483,(1.8)
2012,Ireland,523,(2.6)
2012,Israel,486,(5.0)
2012,Italy,490,(2.0)
2012,Japan,538,(3.7)
2012,Korea,536,(3.9)
2012,Latvia,489,(2.4)
2012,Luxembourg,488,(1.5)
2012,Mexico,424,(1.5)
2012,Netherlands,511,(3.5)
2012,New Zealand,512,(2.4)
2012,Norway,504,(3.2)
2012,Poland,518,(3.1)
2012,Portugal,488,(3.8)
2012,Slovak Republic,463,(4.2)
2012,Slovenia,481,(1.2)
2012,Spain,488,(1.9)
2012,Sweden,483,(3.0)
2012,Switzerland,509,(2.6)
2012,Turkey,475,(4.2)
2012,United Kingdom,499,(3.5)
2012,United States,498,(3.7)
2012,Albania,394,(3.2)
2012,Albania (2015),—,†
2012,Algeria,—,†
2012,Argentina (2015),—,†
2012,Brazil,407,(2.0)
2012,B-S-J-G (China),—,†
2012,Bulgaria,436,(6.0)
2012,CABA (Argentina),429,(9.0)
2012,Colombia,403,(3.4)
2012,Costa Rica,441,(3.5)
2012,Croatia,485,(3.3)
2012,Cyprus,—,†
2012,Dominican Republic,—,†
2012,FYROM,—,†
2012,Georgia,—,†
2012,Hong Kong (China),545,(2.8)
2012,Indonesia,396,(4.2)
2012,Jordan,399,(3.6)
2012,Kazakhstan,393,(2.7)
2012,Kazakhstan (2015),—,†
2012,Kosovo,—,†
2012,Lebanon,—,†
2012,Lithuania,477,(2.5)
2012,Macao (China),509,(0.9)
2012,Malaysia,398,(3.3)
2012,Malaysia (2015),—,†
2012,Malta,—,†
2012,Moldova,—,†
2012,Montenegro,422,(1.2)
2012,Peru,384,(4.3)
2012,Qatar,388,(0.8)
2012,Romania,438,(4.0)
2012,Russia,475,(3.0)
2012,Singapore,542,(1.4)
2012,Chinese Taipei,523,(3.0)
2012,Thailand,441,(3.1)
2012,Trinidad and Tobago,—,†
2012,Tunisia,404,(4.5)
2012,United Arab Emirates,442,(2.5)
2012,Uruguay,411,(3.2)
2012,Viet Nam,508,(4.4)
2012,Belgium: Flemish Community,518,(3.0)
2012,Spain: Andalusia,477,(4.2)
2012,Spain: Aragon,493,(5.8)
2012,Spain: Asturias,504,(5.2)
2012,Spain: Balearic Islands,476,(4.5)
2012,Spain: Basque Country,498,(2.8)
2012,Spain: Canary Islands,—,†
2012,Spain: Cantabria,485,(3.5)
2012,Spain: Castile and Leon,505,(5.5)
2012,Spain: Castile-La Mancha,—,†
2012,Spain: Catalonia,501,(4.7)
2012,Spain: Comunidad Valenciana,—,†
2012,Spain: Extremadura,457,(4.9)
2012,Spain: Galicia,499,(4.7)
2012,Spain: La Rioja,490,(2.4)
2012,Spain: Madrid,511,(4.8)
2012,Spain: Murcia,462,(5.0)
2012,Spain: Navarre,509,(3.2)
2012,United Arab Emirates: Abu Dhabi,431,(4.9)
2012,United Arab Emirates: Dubai,468,(1.3)
2012,United Kingdom: Scotland,506,(3.0)
2012,United States: Massachusetts,—,†
2012,United States: North Carolina,—,†
2012,United States: Puerto Rico,—,†
2009,Selected countries and jurisdictions,474,(0.4)
2009,International Average (OECD),493,(0.5)
2009,Australia,515,(2.3)
2009,Austria,470,(2.9)
2009,Belgium,506,(2.3)
2009,Canada,524,(1.5)
2009,Chile,449,(3.1)
2009,Czech Republic,478,(2.9)
2009,Denmark,495,(2.1)
2009,Estonia,501,(2.6)
2009,Finland,536,(2.3)
2009,France,496,(3.4)
2009,Germany,497,(2.7)
2009,Greece,483,(4.3)
2009,Hungary,494,(3.2)
2009,Iceland,500,(1.4)
2009,Ireland,496,(3.0)
2009,Israel,474,(3.6)
2009,Italy,486,(1.6)
2009,Japan,520,(3.5)
2009,Korea,539,(3.5)
2009,Latvia,484,(3.0)
2009,Luxembourg,472,(1.3)
2009,Mexico,425,(2.0)
2009,Netherlands,508,(5.1)
2009,New Zealand,521,(2.4)
2009,Norway,503,(2.6)
2009,Poland,500,(2.6)
2009,Portugal,489,(3.1)
2009,Slovak Republic,477,(2.5)
2009,Slovenia,483,(1.0)
