Year_Country,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2000_Albania,3.28692007064819,10.137029647827099,,,,,,,,,,,,
2000_Algeria,,,,,,17.4437599182129,,9.94404983520508,,,,,,
2000_Argentina,4.580309867858889,16.2263507843018,18.135009765625,17.4208202362061,35.7032508850098,15.825059890747099,35.691291809081996,12.360960006713901,,,,,,
2000_Australia,4.89369010925293,13.3601598739624,23.4199295043945,,38.5898094177246,,34.0679206848145,16.753559112548803,92.9892425537109,90.3780364990234,94.2830581665039,94.5791168212891,,
2000_Austria,5.588809967041019,11.0332202911377,25.009689331054698,,45.413459777832,27.160459518432603,19.697799682617198,22.475929260253896,95.10350799560551,96.7540130615234,94.9424667358398,94.63717651367192,,
2000_Belgium,,,,,,,,,,,,,,
2000_Brazil,3.94893002510071,11.452159881591802,22.0737800598145,54.9357109069824,38.4423217773438,,30.881780624389602,10.5762996673584,93.8585891723633,96.9163665771484,94.4475784301758,91.9165802001953,86.3678817749023,94.18411254882808
2000_Bulgaria,,,,,,,,,,,,,,
2000_Canada,5.44200992584229,12.982600212097198,,,,,,,96.3984527587891,,,,,
2000_Chile,3.77583003044128,16.4279098510742,14.534640312194801,18.5242900848389,34.2698593139648,14.195240020752001,43.0182113647461,13.7842798233032,87.18878173828129,91.9614791870117,84.673957824707,84.7432479858398,,
2000_China,,,,,,,,,,,,,90.9202117919922,98.8587265014648
2000_Colombia,3.5112099647522004,13.2868299484253,19.877750396728498,30.1899108886719,33.0705986022949,13.1458902359009,44.5569190979004,12.1071195602417,,,,,,
2000_Costa Rica,4.68696022033691,,19.4376602172852,,28.0054492950439,20.1552791595459,46.526939392089794,15.5226802825928,,,,,94.8681869506836,97.6147003173828
2000_Croatia,,,,41.9231414794922,,,,,,96.8577880859375,,,,
